Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z,diameter,subdrill,shape,holeColour
23,619.713,319.688,405.500,619.713,319.688,392.3,229,1.2,mesh-cylinder,white
24,623.155,314.773,405.500,623.155,314.773,392.3,229,1.2,mesh-cylinder,white
25,588.474,372.463,405.500,588.474,372.463,392.3,229,1.2,mesh-cylinder,white
26,591.115,369.248,405.500,591.115,369.248,392.3,229,1.2,mesh-cylinder,white
27,594.556,364.333,405.500,594.556,364.333,392.3,229,1.2,mesh-cylinder,white
28,597.998,359.418,405.500,597.998,359.418,392.3,229,1.2,mesh-cylinder,white
29,601.439,354.503,405.500,601.439,354.503,392.3,229,1.2,mesh-cylinder,white
30,604.881,349.588,405.500,604.881,349.588,392.3,229,1.2,mesh-cylinder,white
31,608.322,344.673,405.500,608.322,344.673,392.3,229,1.2,mesh-cylinder,white
32,611.764,339.758,405.500,611.764,339.758,392.3,229,1.2,mesh-cylinder,white
33,615.205,334.843,405.500,615.205,334.843,392.3,229,1.2,mesh-cylinder,white
34,618.647,329.929,405.500,618.647,329.929,392.3,229,1.2,mesh-cylinder,white
35,622.088,325.014,405.500,622.088,325.014,392.3,229,1.2,mesh-cylinder,white
36,625.530,320.099,405.500,625.530,320.099,392.3,229,1.2,mesh-cylinder,white
37,593.490,374.573,405.500,593.490,374.573,392.3,229,1.2,mesh-cylinder,white
38,596.931,369.658,405.500,596.931,369.658,392.3,229,1.2,mesh-cylinder,white
39,600.373,364.743,405.500,600.373,364.743,392.3,229,1.2,mesh-cylinder,white
40,603.814,359.828,405.500,603.814,359.828,392.3,229,1.2,mesh-cylinder,white
41,607.256,354.914,405.500,607.256,354.914,392.3,229,1.2,mesh-cylinder,white
42,610.697,349.999,405.500,610.697,349.999,392.3,229,1.2,mesh-cylinder,white
43,614.139,345.084,405.500,614.139,345.084,392.3,229,1.2,mesh-cylinder,white
44,617.580,340.169,405.500,617.580,340.169,392.3,229,1.2,mesh-cylinder,white
45,621.022,335.254,405.500,621.022,335.254,392.3,229,1.2,mesh-cylinder,white
46,624.463,330.339,405.500,624.463,330.339,392.3,229,1.2,mesh-cylinder,white
47,627.905,325.424,405.500,627.905,325.424,392.3,229,1.2,mesh-cylinder,white
48,631.346,320.509,405.500,631.346,320.509,392.3,229,1.2,mesh-cylinder,white
49,595.865,379.899,405.500,595.865,379.899,392.3,229,1.2,mesh-cylinder,white
50,599.306,374.984,405.500,599.306,374.984,392.3,229,1.2,mesh-cylinder,white
51,602.748,370.069,405.500,602.748,370.069,392.3,229,1.2,mesh-cylinder,white
52,606.189,365.154,405.500,606.189,365.154,392.3,229,1.2,mesh-cylinder,white
53,609.631,360.239,405.500,609.631,360.239,392.3,229,1.2,mesh-cylinder,white
54,613.072,355.324,405.500,613.072,355.324,392.3,229,1.2,mesh-cylinder,white
55,616.514,350.409,405.500,616.514,350.409,392.3,229,1.2,mesh-cylinder,white
56,619.955,345.494,405.500,619.955,345.494,392.3,229,1.2,mesh-cylinder,white
57,623.397,340.579,405.500,623.397,340.579,392.3,229,1.2,mesh-cylinder,white
58,626.838,335.664,405.500,626.838,335.664,392.3,229,1.2,mesh-cylinder,white
59,630.280,330.749,405.500,630.280,330.749,392.3,229,1.2,mesh-cylinder,white
60,633.721,325.834,405.500,633.721,325.834,392.3,229,1.2,mesh-cylinder,white
61,601.682,380.309,405.500,601.682,380.309,392.3,229,1.2,mesh-cylinder,white
62,605.123,375.394,405.500,605.123,375.394,392.3,229,1.2,mesh-cylinder,white
63,608.564,370.479,405.500,608.564,370.479,392.3,229,1.2,mesh-cylinder,white
64,612.006,365.564,405.500,612.006,365.564,392.3,229,1.2,mesh-cylinder,white
65,615.447,360.649,405.500,615.447,360.649,392.3,229,1.2,mesh-cylinder,white
66,618.889,355.734,405.500,618.889,355.734,392.3,229,1.2,mesh-cylinder,white
67,622.330,350.819,405.500,622.330,350.819,392.3,229,1.2,mesh-cylinder,white
68,625.772,345.905,405.500,625.772,345.905,392.3,229,1.2,mesh-cylinder,white
69,629.213,340.990,405.500,629.213,340.990,392.3,229,1.2,mesh-cylinder,white
70,632.655,336.075,405.500,632.655,336.075,392.3,229,1.2,mesh-cylinder,white
71,636.096,331.160,405.500,636.096,331.160,392.3,229,1.2,mesh-cylinder,white
72,639.538,326.245,405.500,639.538,326.245,392.3,229,1.2,mesh-cylinder,white
73,604.057,385.634,405.500,604.057,385.634,392.3,229,1.2,mesh-cylinder,white
74,607.498,380.719,405.500,607.498,380.719,392.3,229,1.2,mesh-cylinder,white
75,610.939,375.804,405.500,610.939,375.804,392.3,229,1.2,mesh-cylinder,white
76,614.381,370.890,405.500,614.381,370.890,392.3,229,1.2,mesh-cylinder,white
77,617.822,365.975,405.500,617.822,365.975,392.3,229,1.2,mesh-cylinder,white
78,621.264,361.060,405.500,621.264,361.060,392.3,229,1.2,mesh-cylinder,white
79,624.705,356.145,405.500,624.705,356.145,392.3,229,1.2,mesh-cylinder,white
80,628.147,351.230,405.500,628.147,351.230,392.3,229,1.2,mesh-cylinder,white
81,631.588,346.315,405.500,631.588,346.315,392.3,229,1.2,mesh-cylinder,white
82,635.030,341.400,405.500,635.030,341.400,392.3,229,1.2,mesh-cylinder,white
83,638.471,336.485,405.500,638.471,336.485,392.3,229,1.2,mesh-cylinder,white
84,641.913,331.570,405.500,641.913,331.570,392.3,229,1.2,mesh-cylinder,white
85,602.137,388.032,405.500,599.941,390.228,392.3,229,1.2,mesh-cylinder,orange
86,598.896,384.528,405.500,596.700,386.724,392.3,229,1.2,mesh-cylinder,orange
87,594.867,381.724,405.500,592.671,383.920,392.3,229,1.2,mesh-cylinder,orange
88,591.351,378.008,405.500,589.155,380.204,392.3,229,1.2,mesh-cylinder,orange
89,587.996,374.491,405.500,585.800,376.687,392.3,229,1.2,mesh-cylinder,orange
90,584.268,370.600,405.500,582.072,372.797,392.3,229,1.2,mesh-cylinder,orange
